Attendee_ID,Career_Stage,Geographic_Region,CAS_Credential_Status
A0001,Mid-Career,North East,Associate
A0002,Entry-Level,International,Associate
A0003,Executive,International,Associate
A0004,Student,Mid-West,Associate
A0005,Mid-Career,Mid-West,Non-Member
A0006,Entry-Level,Mid-West,Credentialed
A0007,Student,North East,Non-Member
A0008,Mid-Career,South,Credentialed
A0009,Executive,West,Non-Member
A0010,Student,South,Non-Member
A0011,Entry-Level,South,Non-Member
A0012,Senior,West,Non-Member
A0013,Student,North East,Non-Member
A0014,Senior,South,Credentialed
A0015,Senior,South,Associate
A0016,Executive,North East,Non-Member
A0017,Entry-Level,South,Associate
A0018,Mid-Career,North East,Credentialed
A0019,Senior,Mid-West,Associate
A0020,Executive,South,Associate
A0021,Mid-Career,South,Associate
A0022,Entry-Level,West,Non-Member
A0023,Mid-Career,West,Non-Member
A0024,Mid-Career,International,Credentialed
A0025,Entry-Level,International,Non-Member
A0026,Student,West,Associate
A0027,Senior,South,Non-Member
A0028,Student,International,Credentialed
A0029,Senior,West,Credentialed
A0030,Senior,International,Associate
A0031,Mid-Career,International,Non-Member
A0032,Mid-Career,South,Associate
A0033,Senior,South,Credentialed
A0034,Entry-Level,Mid-West,Credentialed
A0035,Entry-Level,Mid-West,Non-Member
A0036,Entry-Level,International,Credentialed
A0037,Student,North East,Credentialed
A0038,Senior,West,Credentialed
A0039,Executive,International,Non-Member
A0040,Senior,Mid-West,Non-Member
A0041,Entry-Level,North East,Associate
A0042,Senior,North East,Non-Member
A0043,Mid-Career,International,Non-Member
A0044,Senior,North East,Credentialed
A0045,Entry-Level,South,Associate
A0046,Entry-Level,North East,Non-Member
A0047,Entry-Level,North East,Credentialed
A0048,Entry-Level,West,Associate
A0049,Executive,Mid-West,Associate
A0050,Mid-Career,South,Associate
A0051,Entry-Level,West,Non-Member
A0052,Entry-Level,North East,Associate
A0053,Mid-Career,North East,Credentialed
A0054,Mid-Career,Mid-West,Credentialed
A0055,Mid-Career,North East,Non-Member
A0056,Student,West,Associate
A0057,Entry-Level,North East,Credentialed
A0058,Entry-Level,South,Credentialed
A0059,Senior,International,Associate
A0060,Entry-Level,South,Credentialed
A0061,Senior,Mid-West,Associate
A0062,Mid-Career,Mid-West,Associate
A0063,Senior,West,Credentialed
A0064,Senior,South,Credentialed
A0065,Entry-Level,Mid-West,Associate
A0066,Student,West,Non-Member
A0067,Senior,North East,Associate
A0068,Entry-Level,South,Associate
A0069,Mid-Career,North East,Non-Member
A0070,Entry-Level,North East,Associate
A0071,Senior,South,Credentialed
A0072,Senior,South,Non-Member
A0073,Executive,International,Associate
A0074,Entry-Level,Mid-West,Credentialed
A0075,Student,International,Credentialed
A0076,Entry-Level,West,Associate
A0077,Senior,North East,Non-Member
A0078,Entry-Level,Mid-West,Non-Member
A0079,Entry-Level,West,Non-Member
A0080,Entry-Level,North East,Associate
A0081,Entry-Level,West,Non-Member
A0082,Senior,North East,Non-Member
A0083,Mid-Career,North East,Associate
A0084,Mid-Career,North East,Associate
A0085,Mid-Career,North East,Credentialed
A0086,Senior,West,Credentialed
A0087,Executive,Mid-West,Credentialed
A0088,Student,Mid-West,Associate
A0089,Senior,North East,Credentialed
A0090,Mid-Career,North East,Associate
A0091,Senior,International,Credentialed
A0092,Student,North East,Credentialed
A0093,Senior,Mid-West,Associate
A0094,Mid-Career,Mid-West,Non-Member
A0095,Mid-Career,West,Non-Member
A0096,Mid-Career,Mid-West,Credentialed
A0097,Senior,South,Credentialed
A0098,Senior,International,Credentialed
A0099,Entry-Level,West,Non-Member
A0100,Entry-Level,South,Non-Member
A0101,Entry-Level,International,Associate
A0102,Entry-Level,West,Credentialed
A0103,Senior,North East,Associate
A0104,Mid-Career,Mid-West,Associate
A0105,Mid-Career,North East,Credentialed
A0106,Senior,North East,Non-Member
A0107,Mid-Career,North East,Credentialed
A0108,Senior,International,Credentialed
A0109,Executive,Mid-West,Credentialed
A0110,Entry-Level,South,Non-Member
A0111,Student,Mid-West,Associate
A0112,Mid-Career,West,Associate
A0113,Senior,International,Non-Member
A0114,Senior,North East,Non-Member
A0115,Mid-Career,South,Non-Member
A0116,Executive,Mid-West,Associate
A0117,Executive,Mid-West,Associate
A0118,Executive,International,Non-Member
A0119,Entry-Level,Mid-West,Associate
A0120,Senior,West,Non-Member
A0121,Entry-Level,Mid-West,Associate
A0122,Mid-Career,South,Associate
A0123,Mid-Career,South,Associate
A0124,Entry-Level,West,Associate
A0125,Senior,West,Non-Member
A0126,Entry-Level,Mid-West,Associate
A0127,Mid-Career,West,Credentialed
A0128,Student,Mid-West,Non-Member
A0129,Student,International,Associate
A0130,Executive,South,Credentialed
