Attendee_ID,Event_ID,Registration_Date,Event_Date,Event_Type,Location,Topic,Career_Stage,Geographic_Region,CAS_Credential_Status,First_Time_Attendee_Flag,Member_Status
A0834,E036,2022-05-31,2023-08-01,Webinar,Online,Topic 6,Mid-Career,West,Associate,False,Member
A0660,E008,2023-10-03,2023-12-01,Workshop,San Francisco,Topic 12,Student,South,Non-Member,False,Non-Member
A0340,E116,2023-03-07,2023-03-21,Local Chapter Event,Houston,Topic 9,Mid-Career,West,Associate,False,Member
A0830,E007,2022-08-28,2024-05-06,Seminar,San Francisco,Topic 10,Executive,South,Credentialed,False,Member
A0952,E176,2022-08-04,2024-03-04,Webinar,Online,Topic 15,Mid-Career,South,Credentialed,False,Member
A0088,E073,2022-08-01,2022-10-07,Workshop,Miami,Topic 3,Student,Mid-West,Associate,True,Member
A0805,E119,2023-08-31,2024-11-14,Webinar,Online,Topic 4,Student,North East,Credentialed,False,Member
A0885,E110,2022-08-20,2023-02-17,Annual Meeting,New York,Topic 4,Mid-Career,South,Non-Member,False,Non-Member
A0309,E119,2024-03-21,2024-11-14,Webinar,Online,Topic 4,Mid-Career,South,Credentialed,False,Member
A0350,E157,2022-01-12,2022-09-25,Webinar,Online,Topic 12,Entry-Level,Mid-West,Associate,True,Member
A0098,E178,2023-07-25,2024-11-15,Local Chapter Event,New York,Topic 3,Senior,International,Credentialed,True,Member
A0802,E020,2023-12-30,2024-12-12,Webinar,Online,Topic 13,Student,South,Associate,False,Member
A0906,E160,2023-05-01,2023-08-01,Webinar,Online,Topic 7,Senior,West,Credentialed,True,Member
A0084,E131,2023-08-08,2024-01-24,Workshop,Chicago,Topic 8,Mid-Career,North East,Associate,True,Member
A0296,E056,2022-04-21,2024-06-15,Annual Meeting,Houston,Topic 5,Mid-Career,International,Credentialed,False,Member
A0192,E136,2022-02-26,2022-03-21,Workshop,San Francisco,Topic 5,Senior,International,Associate,True,Member
A0060,E138,2022-02-19,2023-10-18,Webinar,Online,Topic 11,Entry-Level,South,Credentialed,False,Member
A0420,E125,2022-02-06,2022-06-19,Workshop,San Francisco,Topic 2,Mid-Career,International,Non-Member,False,Non-Member
A0101,E026,2022-08-12,2022-08-19,Webinar,Online,Topic 7,Entry-Level,International,Associate,True,Member
A0338,E192,2023-01-12,2023-10-24,Seminar,Houston,Topic 11,Entry-Level,Mid-West,Credentialed,True,Member
A0471,E022,2023-01-11,2023-06-05,Webinar,Online,Topic 12,Student,South,Credentialed,True,Member
A0011,E046,2022-03-11,2022-05-03,Seminar,Miami,Topic 2,Entry-Level,South,Non-Member,True,Non-Member
A0192,E010,2022-08-27,2023-10-09,Seminar,Chicago,Topic 4,Senior,International,Associate,False,Member
A0920,E099,2023-03-23,2024-03-12,Seminar,Chicago,Topic 19,Executive,Mid-West,Associate,False,Member
A0343,E145,2022-08-12,2023-03-26,Annual Meeting,Chicago,Topic 13,Mid-Career,North East,Associate,True,Member
A0991,E057,2022-07-01,2024-11-26,Local Chapter Event,New York,Topic 9,Entry-Level,South,Credentialed,False,Member
A0184,E009,2022-03-31,2024-04-11,Workshop,Miami,Topic 19,Student,South,Non-Member,False,Non-Member
A0688,E018,2023-02-04,2024-03-26,Workshop,Houston,Topic 8,Executive,International,Non-Member,False,Non-Member
A0106,E015,2023-05-19,2024-10-22,Workshop,Chicago,Topic 4,Senior,North East,Non-Member,False,Non-Member
A0679,E013,2023-01-29,2024-08-13,Seminar,Miami,Topic 8,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0040,E148,2022-03-24,2024-05-02,Webinar,Online,Topic 17,Senior,Mid-West,Non-Member,False,Non-Member
A0845,E191,2022-02-08,2022-11-11,Local Chapter Event,Miami,Topic 1,Mid-Career,North East,Credentialed,True,Member
A0211,E188,2022-01-04,2022-02-03,Webinar,Online,Topic 8,Executive,West,Non-Member,True,Non-Member
A0048,E018,2024-03-18,2024-03-26,Workshop,Houston,Topic 8,Entry-Level,West,Associate,False,Member
